file,trajectory,controller,IAE,ITAE,ISE,ICE,max_error,mean_error,final_error,settling_time,total_time,num_samples
mpc_20251101_163309.csv,cuadrada,mpc,0.421202,11.751919,0.005116,5.644995,0.031600,0.007755,0.005500,54.277000,54.256000,1086
mpc_20251101_163434.csv,cuadrada,mpc,0.393690,11.281454,0.004571,5.666762,0.030700,0.007235,0.004700,54.363000,54.335000,1088
mpc_20251101_163631.csv,cuadrada,mpc,0.418938,11.795312,0.004968,5.687806,0.030900,0.007678,0.005100,54.589000,54.548000,1092
mpc_20251101_163747.csv,cuadrada,mpc,0.430532,11.862517,0.005297,5.624354,0.031300,0.007925,0.005300,54.270000,54.253000,1086
mpc_20251101_163920.csv,cuadrada,mpc,0.406820,11.306666,0.004767,5.629879,0.031200,0.007475,0.004800,54.390000,54.343000,1088
mpc_20251101_164032.csv,cuadrada,mpc,0.409079,10.736864,0.005180,5.649598,0.033300,0.007523,0.003900,54.387000,54.340000,1088
mpc_20251101_164157.csv,cuadrada,mpc,0.426036,11.964108,0.005131,5.641967,0.032000,0.007846,0.006200,54.244000,54.238000,1086
mpc_20251101_164310.csv,cuadrada,mpc,0.393786,10.683522,0.004637,5.624226,0.031900,0.007240,0.004000,54.384000,54.338000,1088
mpc_20251101_164425.csv,cuadrada,mpc,0.399325,10.813165,0.004824,5.666724,0.030800,0.007356,0.004800,54.265000,54.239000,1086
mpc_20251101_164538.csv,cuadrada,mpc,0.408495,11.396366,0.004848,5.640112,0.031400,0.007522,0.004500,54.289000,54.263000,1086
mpc_20251101_164652.csv,cuadrada,mpc,0.404541,11.657383,0.004616,5.640560,0.030900,0.007433,0.004600,54.374000,54.312000,1088
mpc_20251101_164837.csv,cuadrada,mpc,0.465274,12.558613,0.005752,5.632660,0.031800,0.008567,0.005200,54.266000,54.256000,1086
mpc_20251101_165010.csv,cuadrada,mpc,0.401348,10.361779,0.005274,5.679908,0.033600,0.007376,0.004000,54.373000,54.344000,1088
mpc_20251101_165124.csv,cuadrada,mpc,0.408914,10.884550,0.004809,5.631683,0.030600,0.007517,0.004300,54.381000,54.346000,1088
mpc_20251101_165239.csv,cuadrada,mpc,0.418690,10.976346,0.005045,5.672935,0.030600,0.007695,0.004000,54.379000,54.357000,1088
mpc_20251101_165351.csv,cuadrada,mpc,0.412285,11.034606,0.004844,5.653284,0.030800,0.007595,0.004600,54.260000,54.241000,1086
pid_run_20251101_143254.csv,cuadrada,pid,0.977883,52.410448,0.013873,5.715188,0.027400,0.008015,0.004900,122.085000,122.046000,2437
pid_run_20251101_143624.csv,cuadrada,pid,0.707188,26.900069,0.012983,5.830567,0.027300,0.010830,0.004800,65.745000,65.712000,1299
pid_run_20251101_143815.csv,cuadrada,pid,0.682266,25.488289,0.012578,5.911221,0.029600,0.011011,0.004700,62.459000,62.430000,1231
pid_run_20251101_143943.csv,cuadrada,pid,0.678330,25.455332,0.012197,5.879746,0.028200,0.010670,0.004700,63.956000,63.942000,1265
